Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C28, C29, C30",0402,4,1uF,
"C10, C13, C17, C18",0603,4,22uF,
"C12, C2, C3, C31, C5, C6, C7, C8, C9",0402,9,10uF,
"C14, C15, C19, C20, C21, C22, C23, C25, C26, C37",0402,10,100nF,
"C16, C32",0402,2,2.2uF,
"C33, C34",0402,2,20pF,
"C35, C36",0402,2,6.8pF,
C4,0402,1,47nF,
CARD1,TF-SMD_TF-02,1,TF-01A_C2889258,C2889258
D1,0603,1,LED,
J1,"TerminalBlock_Phoenix_MKDS-1,5-2_1x02_P5.00mm_Horizontal",1,Screw_Terminal_01x02,
"J2, J3",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03,
L1,L2520,1,1uH,C435392
L2,IND-SMD_L4.0-W4.0-A,1,1.5uH,C3033018
L3,IND-SMD_L3.0-W3.0,1,5.6uH,C18236327
L4,L0603,1,FCM1608KF-601T03,C141723
"R1, R2",0402,2,5.1K,
"R10, R11, R12, R13, R16, R17, R18, R19, R20, R21, R22, R6, R8, R9",0402,14,10K,
R14,0603,1,100K,
R15,0402,1,22.1K,
R3,0402,1,383,
R4,0402,1,5.23K,
R5,0402,1,30.1K,
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,VFQFPN-24_L4.0-W4.0-P0.50-BL-EP2.8,1,BQ25883RGER,C544362
U2,VQFN-15_L3.0-W2.5-P0.50-BL,1,TPS63070RNMR,C109322
U3,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,LMR51430,C5210749
U4,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U5,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,1,STM32F722RETx,C118207
U6,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
USB1,USB-C-SMD_TYPE-C-16PIN-2MD-073,1,TYPE-C 16PIN 2MD,C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
