Designator,Mid X,Mid Y,Rotation,Layer
C1,225.119999,-58.87,180.0,top
C10,219.406866,-41.884972,135.0,top
C12,220.975936,-43.821738,315.0,top
C13,220.464698,-45.115036,315.0,top
C14,218.869465,-48.81179,225.0,top
C15,232.03112,-80.207486,45.0,top
C16,230.561752,-75.874335,225.0,top
C17,236.391847,-74.407089,315.0,top
C18,235.351693,-75.482598,315.0,top
C19,217.021669,-56.011977,45.0,top
C2,230.7,-54.569999,90.0,top
C20,214.864993,-53.832674,45.0,top
C21,199.311465,-75.754687,135.0,top
C22,197.913515,-74.368051,315.0,top
C23,210.660624,-60.049376,45.0,top
C25,215.650624,-66.849376,45.0,top
C26,215.800624,-70.870624,315.0,top
C28,215.89,-68.35,0.0,top
C29,205.960001,-75.88,180.0,top
C3,234.4,-56.38,0.0,top
C30,206.750624,-59.789376,45.0,top
C31,207.470624,-60.499376,45.0,top
C32,204.429376,-74.529376,315.0,top
C33,203.16,-61.62,225.0,top
C34,199.54,-57.87,45.0,top
C35,205.062702,-60.388115,45.0,top
C36,201.462114,-56.880865,45.0,top
C37,198.86,-51.480001,270.0,top
C4,228.71,-54.569999,90.0,top
C5,225.119999,-57.88,180.0,top
C6,229.7,-54.569999,90.0,top
C7,213.922546,-46.806435,225.0,top
C8,216.147811,-49.026044,225.0,top
C9,215.408884,-48.287117,225.0,top
CARD1,199.0,-39.3525,180.0,top
D1,227.322499,-61.25,180.0,top
J1,234.42,-45.55,90.0,top
J2,233.46,-32.44,90.0,top
J3,233.459999,-36.43,90.0,top
L1,225.797315,-54.932685,45.0,top
L2,214.986741,-43.623748,225.0,top
L3,232.800452,-73.109548,225.0,top
L4,200.194975,-63.104975,135.0,top
R1,210.125,-77.7015,0.0,top
R10,229.64,-61.949999,90.0,top
R11,231.64,-61.939999,90.0,top
R12,214.665008,-47.546069,45.0,top
R13,220.261051,-47.432932,45.0,top
R14,234.213251,-76.589928,315.0,top
R15,233.68787,-78.539422,225.0,top
R16,195.669,-45.2525,270.0,top
R17,197.28,-46.2205,0.0,top
R18,199.456,-46.2295,180.0,top
R19,201.446,-46.2365,0.0,top
R2,215.096,-77.7115,180.0,top
R20,203.423,-46.2415,180.0,top
R21,205.4,-46.2685,180.0,top
R22,194.64,-51.249999,90.0,top
R3,234.389999,-59.37,180.0,top
R4,234.41,-57.37,0.0,top
R5,236.31,-57.36,0.0,top
R6,236.31,-58.38,0.0,top
R8,234.399999,-58.37,180.0,top
R9,230.64,-61.939999,90.0,top
SW1,196.78,-51.31,270.0,top
SW2,192.55,-51.31,270.0,top
U1,229.82,-58.12,0.0,top
U2,217.805269,-46.432376,45.0,top
U3,231.316942,-78.031011,225.0,top
U4,200.3,-72.98,315.0,top
U5,207.790446,-68.012679,135.0,top
U6,215.99,-54.87,45.0,top
USB1,212.5,-81.4175,0.0,top
X1,201.106777,-60.118858,135.0,top
X2,203.9625,-58.11,135.0,top
